,Cities,Latitude,Longitude,Temperature (F),Cloudiness (%),Wind Speed (mph),Humidity (%)
1312,moba,-7.04,29.77,60.6,0,8.19,100
1314,diu,20.71,70.98,79.95,92,7.29,96
1317,hainburg,50.07,8.95,61.72,0,8.05,59
1318,novopetrovskoye,55.99,36.47,56.32,90,8.95,100
1319,mokhotlong,-29.29,29.06,22.8,80,1.92,83
1325,iqaluit,63.75,-68.52,37.4,90,13.87,75
1331,ruy barbosa,-12.29,-40.5,65.82,44,8.08,92
1333,matamoros,25.87,-97.51,81.95,1,8.05,83
1340,porto novo,-23.68,-45.44,60.8,0,2.24,72
1342,gander,48.95,-54.61,64.4,90,10.29,68
1343,manchenky,49.98,35.85,62.6,0,2.24,82
1347,tautira,-17.73,-149.15,75.2,75,10.29,94
1355,bilma,18.69,12.92,71.94,0,8.41,17
1357,mayumba,-3.44,10.65,69.6,76,3.38,97
1359,sciacca,37.51,13.08,68,0,2.24,88
1371,ranong,9.96,98.62,82.4,75,1.12,88
1374,aksha,50.28,113.29,58.26,64,10.42,68
1376,sandwich,51.28,1.34,57.2,0,6.93,87
1381,kapuskasing,49.42,-82.43,73.4,75,20.8,73
1384,calama,-22.46,-68.93,48.2,0,16.11,9
1385,shakiso,5.77,38.9,56.1,100,2.15,99
1386,jacareacanga,-6.22,-57.76,78.15,44,3.71,81
1389,mamlyutka,54.94,68.54,69.8,75,8.95,77
1392,tateyama,36.66,137.31,87.8,75,10.29,55
1399,ilheus,-14.79,-39.05,73.4,75,3.36,94
1402,balikpapan,-1.24,116.86,84.2,40,9.17,83
1411,fort-shevchenko,44.51,50.26,79.41,0,6.85,88
1416,mangrol,25.33,76.51,88.77,0,6.17,64
1427,bertoua,4.58,13.68,66,64,6.62,94
1428,te anau,-45.41,167.72,38.28,92,4.16,99
1430,bathsheba,13.22,-59.52,80.6,20,13.87,88
1436,topolovgrad,42.08,26.33,59.88,20,2.71,89
1437,udachnyy,66.42,112.4,54.03,48,4.38,67
1440,port lincoln,-34.72,135.86,56.46,80,1.59,96
1441,kharan,28.58,65.42,81.39,0,4.83,15
1443,saint-francois,46.42,3.91,55.4,0,5.5,93
1444,san carlos de bariloche,-41.13,-71.31,32,75,5.82,76
1445,virginia beach,36.85,-75.98,67.6,1,10.29,68
1449,yenagoa,4.92,6.26,68.88,24,2.71,96
1451,sauda,59.65,6.35,40.89,0,2.37,97
1454,omboue,-1.57,9.26,74.01,76,10.98,100
1462,shanhetun,44.7,127.2,71.4,92,10.76,94
1464,zhanaozen,43.35,52.85,80.13,20,12.21,42
1468,havelock,34.88,-76.9,72.27,90,16.11,88
1471,naze,5.43,7.07,78.8,40,2.59,88
1476,waslala,13.33,-85.37,73.83,92,3.94,91
1477,neuquen,-38.95,-68.06,48.2,75,5.61,81
1481,mumford,5.26,-0.76,75.45,92,8.41,93
1482,normandin,48.84,-72.53,77,75,12.75,47
1488,barcelona,41.38,2.18,71.6,0,5.82,60
1489,adwa,14.16,38.9,60.78,92,2.71,97
1492,podosinovets,60.28,47.06,66.81,56,3.94,83
1495,wamba,2.14,27.99,72.93,48,0.92,73
1499,thinadhoo,0.53,72.93,83.64,64,17.47,100
